state_bottle_retail
10.59
10.38
3.75
1.5
17.63
10.05
9.75
1.5
15.6
7.5
7.5
77.4
78.6
77.4
78.6
78.6
78.6
77.4
78.6
77.4
77.4
77.4
78.6
77.4
78.6
77.4
77.4
77.4
77.4
77.4
77.4
78.6
77.4
78.6
78.6
78.6
78.6
77.4
78.6
77.4
78.6
78.6
77.4
90.0
78.6
77.4
77.4
90.0
77.4
78.6
78.6
77.4
90.0
77.4
78.6
77.4
77.4
77.4
78.6
78.6
78.6
77.4
77.4
77.4
77.4
77.4
77.4
77.4
90.0
77.4
77.4
78.6
77.4
78.6
78.6
78.6
77.4
77.4
77.4
78.6
77.4
77.4
78.6
77.4
77.4
78.6
77.4
77.4
77.4
78.6
77.4
78.6
77.4
77.4
77.4
90.0
78.6
78.6
77.4
77.4
90.0
77.4
77.4
77.4
77.4
77.4
77.4
78.6
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
78.6
77.4
45.0
45.0
77.4
77.4
77.4
78.6
77.4
78.6
77.4
77.4
77.4
90.0
77.4
77.4
90.0
77.4
78.6
77.4
78.6
77.4
77.4
77.4
78.6
78.6
78.6
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
77.4
78.6
77.4
77.4
77.4
78.6
77.4
78.6
77.4
77.4
78.6
78.6
77.4
77.4
78.6
78.6
77.4
77.4
77.4
78.6
77.4
77.4
77.4
78.6
77.4
78.6
77.4
78.6
78.6
78.6
77.4
77.4
78.6
77.4
77.4
77.4
78.6
78.6
78.6
77.4
77.4
78.6
78.6
78.6
77.4
78.6
78.6
78.6
77.4
77.4
77.4
77.4
77.4
78.6
78.6
77.4
78.6
78.6
77.4
77.4
78.6
78.6
78.6
14.46
6.45
77.4
77.49
77.49
77.4
77.4
77.4
77.4
90.0
77.4
77.4
78.6
77.4
77.4
77.4
77.4
78.6
9.68
78.6
78.6
77.4
77.4
77.4
77.4
78.6
78.6
78.6
77.4
78.6
77.4
78.6
77.4
77.4
77.4
78.6
77.4
78.6
78.48
7.74
7.74
7.74
7.5
7.5
10.8
10.8
10.8
5.88
5.88
5.88
5.88
5.88
5.88
6.54
6.45
6.45
6.45
6.45
6.45
6.45
6.9
6.9
6.9
6.9
6.9
6.9
6.9
6.9
8.9
8.9
10.68
10.68
10.68
8.9
8.9
10.68
8.9
8.9
38.7
38.7
38.7
38.7
